TAG_CAT;TAG_ID;TAG_NAME;TAG_CNT;FR_ID;MAL_ID;MAL_NAME;MAL_CNT
4;1207329;alexandrian_soldier;8;7525;;;
4;1218609;kayamba;8;376472;;;
4;1226203;shouryuu_(log_horizon);8;695855;89253;Shouryuu;2
4;1226210;kyouko_(log_horizon);8;695855;116715;Kyouko;0
4;1226245;rupyua;8;564212;;;
4;1226246;suiku;8;564212;;;
4;1227430;goshiki_jun;8;709959;;;
4;1227432;kamiya_kouta;8;709959;;;
4;1228568;joy_(shenmue);8;408756;;;
4;1228615;cynfi_porat;8;602609;;;
4;1229912;inuzuka_kyuuma;8;719314;79415;Kyuuma Inuzuka;13
4;1230041;patricia_mitchell;8;11797;;;
4;1230818;wakatsuki_misuzu;8;1158743;81083;Misuzu Wakatsuki;1
4;1231007;souma_mirai;8;547419;;;
4;1231016;cloud_breaker_01;8;1230232;;;
4;1231093;wagahai_hakase;8;379054;;;
4;1231150;ootori_aoi;8;1231151;;;
4;1231214;konuma_waku;8;709959;99273;Waku Konuma;0
4;1231253;claudia_levantine;8;704993;96355;Claudia le Van Tyne;18
4;1231509;kon_rei;8;13528;1994;Rei Kon;111
4;1232739;krieg;8;520840;;;
4;1233233;fritz_von_stroheim;8;480701;;;
4;1233351;in_a_silent_way_(stand);8;480701;;;
4;1234082;celtic_(predator);8;620459;;;
4;1235180;mr._black;8;29;;;
4;1235328;kannazuki_hotori;8;1318872;;;
4;1235582;yamada_raizou;8;719314;79423;Raizou Yamada;3
4;1235610;fullbody_(one_piece);8;8875;23367;Fullbody;1
4;1235721;evelyn_(unlight);8;660112;;;
4;1235838;marlur;8;15410;;;
4;1236586;jeanne_lefevre;8;712403;;;
4;1237056;sukima_onna;8;;;;
4;1237143;suminoin_ouka;8;1231151;;;
4;1237215;akari_(magical_cannon_wars);8;671921;;;
4;1237733;senjugiku_matoi;8;;;;
4;1237783;ichimiya_touko;8;1237786;81683;Tohko Ichimiya;3
4;1238094;ichihime_moegi;8;463473;;;
4;1238337;midori_makibaoo;8;1238338;92795;Midori Makibao;1
4;1238383;nanaka_(cross_channel);8;10509;;;
4;1238568;macha_(mabinogi);8;606;;;
4;1238855;tatsumi_wakaba;8;405580;;;
4;1239123;flame_=_glass;8;;;;
4;1239222;inukai_kiiro;8;713141;;;
4;1239224;kurodate_mitsu;8;713141;;;
4;1239946;monika_drevis;8;723942;;;
4;1241158;hakamada_kagetsu;8;665545;49923;Kagetsu Hakamada;0
4;1241386;hinata_yachiyo;8;647044;;;
4;1241388;mutsu_honoka;8;647044;;;
4;1241393;spewpa;8;2999;;;
4;1241658;banshee_(warframe);8;782031;;;
4;1242260;karasu_(yuu_yuu_hakusho);8;466305;;;
4;1242269;mukuro_(yuu_yuu_hakusho);8;466305;;;
